sentence_type,item_id,PLUS_FILLER_PLUS_GAP,MINUS_FILLER_PLUS_GAP,PLUS_FILLER_MINUS_GAP,MINUS_FILLER_MINUS_GAP,delta_plus_filler,delta_minus_filler,did_effect,success_delta_plus_filler,success_did
lan_parasitic_gap,63,21.21007257,20.86534347,9.69476929,9.15465889,-11.51530328,-11.71068458,0.19538130,False,True
lan_parasitic_gap,64,21.21007257,21.57649547,20.03547499,18.40418364,-1.17459758,-3.17231183,1.99771425,False,True
lan_parasitic_gap,65,21.21007257,21.57649547,2.55816521,4.98480568,-18.65190736,-16.59168979,-2.06021757,False,False
lan_parasitic_gap,66,21.21007257,21.57649547,9.69476929,9.05225063,-11.51530328,-12.52424484,1.00894156,False,True
lan_parasitic_gap,67,24.45174629,24.26157456,2.55816521,4.27683050,-21.89358108,-19.98474406,-1.90883702,False,False
lan_parasitic_gap,68,24.45174629,24.26157456,20.03547499,20.78356431,-4.41627130,-3.47801025,-0.93826105,False,False
lan_parasitic_gap,69,24.45174629,24.26157456,9.69476929,9.15465889,-14.75697700,-15.10691567,0.34993867,False,True
lan_parasitic_gap,70,24.45174629,24.18859150,2.55816521,4.98480568,-21.89358108,-19.20378582,-2.68979526,False,False
lan_parasitic_gap,71,24.45174629,24.18859150,20.03547499,18.40418364,-4.41627130,-5.78440786,1.36813656,False,True
lan_parasitic_gap,72,24.45174629,24.18859150,9.69476929,9.05225063,-14.75697700,-15.13634087,0.37936387,False,True
lan_parasitic_gap,73,23.93604629,23.33068135,8.87033832,7.57694202,-15.06570797,-15.75373933,0.68803136,False,True
lan_parasitic_gap,74,23.93604629,23.33068135,19.41352483,19.83058200,-4.52252146,-3.50009935,-1.02242211,False,False
lan_parasitic_gap,75,23.93604629,23.33068135,5.04620101,4.92065191,-18.88984528,-18.41002944,-0.47981584,False,False
lan_parasitic_gap,76,23.93604629,23.40902691,8.87033832,7.55091148,-15.06570797,-15.85811543,0.79240746,False,True
lan_parasitic_gap,77,23.93604629,23.40902691,19.41352483,18.49464495,-4.52252146,-4.91438196,0.39186050,False,True
lan_parasitic_gap,78,23.93604629,23.40902691,5.04620101,5.83486756,-18.88984528,-17.57415935,-1.31568593,False,False
lan_parasitic_gap,79,21.83682979,23.54768721,5.04620101,5.83486756,-16.79062878,-17.71281965,0.92219087,False,True
lan_parasitic_gap,80,21.83682979,23.54768721,19.41352483,18.49464495,-2.42330496,-5.05304226,2.62973730,False,True
lan_parasitic_gap,81,21.83682979,23.54768721,8.87033832,7.55091148,-12.96649147,-15.99677573,3.03028426,False,True
lan_parasitic_gap,82,21.83682979,23.60641500,5.04620101,4.92065191,-16.79062878,-18.68576309,1.89513431,False,True
lan_parasitic_gap,83,21.83682979,23.60641500,19.41352483,19.83058200,-2.42330496,-3.77583300,1.35252804,False,True
lan_parasitic_gap,84,21.83682979,23.60641500,8.87033832,7.57694202,-12.96649147,-16.02947298,3.06298151,False,True
lan_parasitic_gap,85,22.44328829,22.41599683,8.50031446,8.46398740,-13.94297383,-13.95200943,0.00903560,False,True
lan_parasitic_gap,86,22.44328829,22.41599683,18.78225053,17.82150941,-3.66103776,-4.59448742,0.93344966,False,True
lan_parasitic_gap,87,22.44328829,22.41599683,4.00245298,6.77403462,-18.44083531,-15.64196221,-2.79887310,False,False
lan_parasitic_gap,88,22.44328829,21.93881967,8.50031446,8.44168045,-13.94297383,-13.49713922,-0.44583461,False,False
lan_parasitic_gap,89,22.44328829,21.93881967,18.78225053,19.41799863,-3.66103776,-2.52082104,-1.14021672,False,False
lan_parasitic_gap,90,22.44328829,21.93881967,4.00245298,5.98099526,-18.44083531,-15.95782441,-2.48301090,False,False
lan_parasitic_gap,91,23.81957175,23.20194535,8.50031446,8.44168045,-15.31925729,-14.76026490,-0.55899239,False,False
lan_parasitic_gap,92,23.81957175,23.20194535,18.78225053,19.41799863,-5.03732122,-3.78394672,-1.25337450,False,False
