sentence_type,item_id,fillertype_effect_plus_gap,fillertype_effect_minus_gap
lan_parasitic_gap,1148,-2.07395347,-0.68113817
lan_parasitic_gap,1149,-2.07395347,-0.49279000
lan_parasitic_gap,115,-1.07397104,1.15769929
lan_parasitic_gap,1150,-1.96873051,-4.32608699
lan_parasitic_gap,1151,-1.96873051,-0.13668670
lan_parasitic_gap,1152,-1.96873051,2.31454883
lan_parasitic_gap,1153,-1.72707332,-1.63919587
lan_parasitic_gap,1154,-1.72707332,0.11565798
lan_parasitic_gap,1155,-1.72707332,0.08045189
lan_parasitic_gap,1156,-1.66445602,-1.25400207
lan_parasitic_gap,1157,-1.66445602,0.13019169
lan_parasitic_gap,1158,-1.66445602,-1.68205113
lan_parasitic_gap,1159,-1.93669691,0.13019169
lan_parasitic_gap,116,-1.07397104,-1.56545973
lan_parasitic_gap,1160,-1.93669691,-1.25400207
lan_parasitic_gap,1161,-1.93669691,-1.68205113
lan_parasitic_gap,1162,-1.71886438,0.11565798
lan_parasitic_gap,1163,-1.71886438,-1.63919587
lan_parasitic_gap,1164,-1.71886438,0.08045189
lan_parasitic_gap,1165,-0.92996123,-0.20088086
lan_parasitic_gap,1166,-0.92996123,-1.95627428
lan_parasitic_gap,1167,-0.92996123,-2.48632043
lan_parasitic_gap,1168,-1.16476129,-0.30276975
lan_parasitic_gap,1169,-1.16476129,-2.34564757
lan_parasitic_gap,117,-1.07397104,0.73198306
lan_parasitic_gap,1170,-1.16476129,0.03627513
lan_parasitic_gap,1171,0.01645682,0.03627513
lan_parasitic_gap,1172,0.01645682,-0.30276975
lan_parasitic_gap,1173,0.01645682,-2.34564757
lan_parasitic_gap,1174,-0.12534424,-2.48632043
lan_parasitic_gap,1175,-0.12534424,-0.20088086
lan_parasitic_gap,1176,-0.12534424,-1.95627428
lan_parasitic_gap,1177,-0.46728027,-0.43532890
lan_parasitic_gap,1178,-0.46728027,-1.66848979
lan_parasitic_gap,1179,-0.46728027,-2.23039066
lan_parasitic_gap,118,-1.41277354,-0.88086920
lan_parasitic_gap,1180,-0.91581848,-0.45907278
lan_parasitic_gap,1181,-0.91581848,-1.83754913
lan_parasitic_gap,1182,-0.91581848,0.73121123
lan_parasitic_gap,1183,0.39302475,-1.83754913
lan_parasitic_gap,1184,0.39302475,0.73121123
lan_parasitic_gap,1185,0.39302475,-0.45907278
lan_parasitic_gap,1186,0.35288465,-1.66848979
lan_parasitic_gap,1187,0.35288465,-2.23039066
lan_parasitic_gap,1188,0.35288465,-0.43532890
lan_parasitic_gap,1189,-1.94806823,-1.33157578
lan_parasitic_gap,119,-1.41277354,-0.65939819
lan_parasitic_gap,1190,-1.94806823,-0.00516918
lan_parasitic_gap,1191,-1.94806823,-1.52983094
lan_parasitic_gap,1192,-2.24475270,1.10533235
lan_parasitic_gap,1193,-2.24475270,0.32024511
lan_parasitic_gap,1194,-2.24475270,-2.06292984
lan_parasitic_gap,1195,-1.31690213,-1.33157578
lan_parasitic_gap,1196,-1.31690213,-0.00516918
lan_parasitic_gap,1197,-1.31690213,-1.52983094
lan_parasitic_gap,1198,-1.01328984,1.10533235
lan_parasitic_gap,1199,-1.01328984,0.32024511
lan_parasitic_gap,12,-0.29227559,-1.63427340
lan_parasitic_gap,120,-1.41277354,0.36362840
lan_parasitic_gap,1200,-1.01328984,-2.06292984
lan_parasitic_gap,1201,-1.94365070,0.14202034
lan_parasitic_gap,1202,-1.94365070,1.48900699
lan_parasitic_gap,1203,-1.94365070,-2.96864801
lan_parasitic_gap,1204,-1.63597579,-0.05751304
lan_parasitic_gap,1205,-1.63597579,-1.26366236
lan_parasitic_gap,1206,-1.63597579,-2.30773066
lan_parasitic_gap,1207,-0.70170811,1.48900699
lan_parasitic_gap,1208,-0.70170811,0.14202034
lan_parasitic_gap,1209,-0.70170811,-2.96864801
lan_parasitic_gap,121,-0.68421399,-0.19415357
lan_parasitic_gap,1210,-0.95642458,-1.26366236
lan_parasitic_gap,1211,-0.95642458,-0.05751304
lan_parasitic_gap,1212,-0.95642458,-2.30773066
lan_parasitic_gap,1213,-1.45148827,-3.07403256
lan_parasitic_gap,1214,-1.45148827,1.22597050
lan_parasitic_gap,1215,-1.45148827,0.59535841
lan_parasitic_gap,1216,-0.75397984,-2.74813785
lan_parasitic_gap,1217,-0.75397984,-1.72433220
lan_parasitic_gap,1218,-0.75397984,0.42179210
lan_parasitic_gap,1219,-0.39521043,0.42179210
