sentence_type,item_id,PLUS_FILLER_PLUS_GAP,MINUS_FILLER_PLUS_GAP,PLUS_FILLER_MINUS_GAP,MINUS_FILLER_MINUS_GAP
lan_parasitic_gap,2384,22.51405825,23.51661733,2.88061909,5.39178562
lan_parasitic_gap,2385,22.51405825,23.51661733,19.43211684,17.68015559
lan_parasitic_gap,2386,22.51405825,23.70173386,9.47380612,9.29753620
lan_parasitic_gap,2387,22.51405825,23.70173386,2.88061909,5.04995490
lan_parasitic_gap,2388,22.51405825,23.70173386,19.43211684,19.74157204
lan_parasitic_gap,2389,20.00015926,22.83403358,19.12546335,19.45333311
lan_parasitic_gap,2390,20.00015926,22.83403358,10.18609928,9.95062404
lan_parasitic_gap,2391,20.00015926,22.83403358,4.98418387,7.37301852
lan_parasitic_gap,2392,20.00015926,23.05863091,19.12546335,17.27693675
lan_parasitic_gap,2393,20.00015926,23.05863091,10.18609928,9.64713006
lan_parasitic_gap,2394,20.00015926,23.05863091,4.98418387,7.74383443
lan_parasitic_gap,2395,20.64331415,22.41697209,10.18609928,9.95062404
lan_parasitic_gap,2396,20.64331415,22.41697209,4.98418387,7.37301852
lan_parasitic_gap,2397,20.64331415,22.41697209,19.12546335,19.45333311
lan_parasitic_gap,2398,20.64331415,22.26293554,10.18609928,9.64713006
lan_parasitic_gap,2399,20.64331415,22.26293554,4.98418387,7.74383443
lan_parasitic_gap,2400,20.64331415,22.26293554,19.12546335,17.27693675
lan_parasitic_gap,2401,19.61473751,22.04462693,9.73911341,9.05263294
lan_parasitic_gap,2402,19.61473751,22.04462693,20.14482983,21.40198131
lan_parasitic_gap,2403,19.61473751,22.04462693,2.59363386,4.65127189
lan_parasitic_gap,2404,19.61473751,22.29321627,9.73911341,8.80444467
lan_parasitic_gap,2405,19.61473751,22.29321627,20.14482983,18.76674156
lan_parasitic_gap,2406,19.61473751,22.29321627,2.59363386,4.74176350
lan_parasitic_gap,2407,22.33289326,23.76195051,20.14482983,18.76674156
lan_parasitic_gap,2408,22.33289326,23.76195051,9.73911341,8.80444467
lan_parasitic_gap,2409,22.33289326,23.76195051,2.59363386,4.74176350
lan_parasitic_gap,2410,22.33289326,23.86023555,20.14482983,21.40198131
lan_parasitic_gap,2411,22.33289326,23.86023555,9.73911341,9.05263294
lan_parasitic_gap,2412,22.33289326,23.86023555,2.59363386,4.65127189
lan_parasitic_gap,2413,20.55294373,22.75305944,4.26906303,6.98844219
lan_parasitic_gap,2414,20.55294373,22.75305944,18.70702120,16.83326186
lan_parasitic_gap,2415,20.55294373,22.75305944,9.39678784,8.88810223
lan_parasitic_gap,2416,20.55294373,22.75262086,4.26906303,6.55649352
lan_parasitic_gap,2417,20.55294373,22.75262086,18.70702120,19.35403963
lan_parasitic_gap,2418,20.55294373,22.75262086,9.39678784,9.41219871
lan_parasitic_gap,2419,21.55392883,22.42816884,9.39678784,9.41219871
lan_parasitic_gap,2420,21.55392883,22.42816884,4.26906303,6.55649352
lan_parasitic_gap,2421,21.55392883,22.42816884,18.70702120,19.35403963
lan_parasitic_gap,2422,21.55392883,22.07106287,9.39678784,8.88810223
lan_parasitic_gap,2423,21.55392883,22.07106287,4.26906303,6.98844219
lan_parasitic_gap,2424,21.55392883,22.07106287,18.70702120,16.83326186
lan_parasitic_gap,2425,18.73603668,21.94284768,18.94340822,19.02270307
lan_parasitic_gap,2426,18.73603668,21.94284768,10.55760480,10.56304520
lan_parasitic_gap,2427,18.73603668,21.94284768,7.35820204,9.65054059
lan_parasitic_gap,2428,18.73603668,22.01261064,18.94340822,16.52654778
lan_parasitic_gap,2429,18.73603668,22.01261064,10.55760480,10.26938751
lan_parasitic_gap,2430,18.73603668,22.01261064,7.35820204,10.15735647
lan_parasitic_gap,2431,19.85630958,21.40809112,10.55760480,10.26938751
lan_parasitic_gap,2432,19.85630958,21.40809112,18.94340822,16.52654778
lan_parasitic_gap,2433,19.85630958,21.40809112,7.35820204,10.15735647
lan_parasitic_gap,2434,19.85630958,21.69911156,10.55760480,10.56304520
lan_parasitic_gap,2435,19.85630958,21.69911156,18.94340822,19.02270307
lan_parasitic_gap,2436,19.85630958,21.69911156,7.35820204,9.65054059
lan_parasitic_gap,2437,17.37150397,20.00883851,9.60521111,9.87737697
lan_parasitic_gap,2438,17.37150397,20.00883851,5.59972847,8.40703845
lan_parasitic_gap,2439,17.37150397,20.00883851,19.55558268,20.81371230
lan_parasitic_gap,2440,17.37150397,20.16087260,9.60521111,9.61158782
lan_parasitic_gap,2441,17.37150397,20.16087260,5.59972847,8.56410610
lan_parasitic_gap,2442,17.37150397,20.16087260,19.55558268,17.79630697
lan_parasitic_gap,2443,20.58543611,22.39554085,9.60521111,9.87737697
lan_parasitic_gap,2444,20.58543611,22.39554085,5.59972847,8.40703845
lan_parasitic_gap,2445,20.58543611,22.39554085,19.55558268,20.81371230
lan_parasitic_gap,2446,20.58543611,22.23168099,9.60521111,9.61158782
lan_parasitic_gap,2447,20.58543611,22.23168099,5.59972847,8.56410610
lan_parasitic_gap,2448,20.58543611,22.23168099,19.55558268,17.79630697
lan_parasitic_gap,2449,23.41254131,24.44901671,4.61025463,6.98123593
lan_parasitic_gap,2450,23.41254131,24.44901671,20.17097724,18.71339070
lan_parasitic_gap,2451,23.41254131,24.44901671,7.36032858,6.69853118
lan_parasitic_gap,2452,23.41254131,24.22404140,4.61025463,6.64565640
lan_parasitic_gap,2453,23.41254131,24.22404140,20.17097724,20.19623161
lan_parasitic_gap,2454,23.41254131,24.22404140,7.36032858,7.08342490
lan_parasitic_gap,2455,24.11224264,23.96968128,20.17097724,20.19623161
lan_parasitic_gap,2456,24.11224264,23.96968128,4.61025463,6.64565640
lan_parasitic_gap,2457,24.11224264,23.96968128,7.36032858,7.08342490
lan_parasitic_gap,2458,24.11224264,23.89283469,20.17097724,18.71339070
lan_parasitic_gap,2459,24.11224264,23.89283469,4.61025463,6.98123593
lan_parasitic_gap,2460,24.11224264,23.89283469,7.36032858,6.69853118
lan_parasitic_gap,2461,22.23214121,24.23574022,19.58020372,19.74526390
lan_parasitic_gap,2462,22.23214121,24.23574022,6.34067933,8.71142835
lan_parasitic_gap,2463,22.23214121,24.23574022,8.15954268,7.91738487
lan_parasitic_gap,2464,22.23214121,24.48136915,19.58020372,17.98026790
lan_parasitic_gap,2465,22.23214121,24.48136915,6.34067933,8.94778508
lan_parasitic_gap,2466,22.23214121,24.48136915,8.15954268,7.49254869
lan_parasitic_gap,2467,23.66194000,24.92918602,8.15954268,7.91738487
lan_parasitic_gap,2468,23.66194000,24.92918602,19.58020372,19.74526390
lan_parasitic_gap,2469,23.66194000,24.92918602,6.34067933,8.71142835
lan_parasitic_gap,2470,23.66194000,24.90695841,8.15954268,7.49254869
lan_parasitic_gap,2471,23.66194000,24.90695841,19.58020372,17.98026790
lan_parasitic_gap,2472,23.66194000,24.90695841,6.34067933,8.94778508
lan_parasitic_gap,2473,21.23219630,22.35776244,7.31456485,7.40265581
lan_parasitic_gap,2474,21.23219630,22.35776244,20.84085950,21.82608315
lan_parasitic_gap,2475,21.23219630,22.35776244,4.86577324,7.29602333
lan_parasitic_gap,2476,21.23219630,22.56316326,7.31456485,7.04347379
lan_parasitic_gap,2477,21.23219630,22.56316326,20.84085950,19.49054310
lan_parasitic_gap,2478,21.23219630,22.56316326,4.86577324,7.17543422
lan_parasitic_gap,2479,24.53980262,25.44994555,20.84085950,19.49054310
lan_parasitic_gap,2480,24.53980262,25.44994555,4.86577324,7.17543422
lan_parasitic_gap,2481,24.53980262,25.44994555,7.31456485,7.04347379
lan_parasitic_gap,2482,24.53980262,25.44318219,20.84085950,21.82608315
lan_parasitic_gap,2483,24.53980262,25.44318219,4.86577324,7.29602333
lan_parasitic_gap,2484,24.53980262,25.44318219,7.31456485,7.40265581
lan_parasitic_gap,2485,20.23247500,23.16319023,10.19600627,9.47206479
lan_parasitic_gap,2486,20.23247500,23.16319023,20.82171926,19.04235835
lan_parasitic_gap,2487,20.23247500,23.16319023,3.76001097,6.07305507
lan_parasitic_gap,2488,20.23247500,22.81251867,10.19600627,10.07178734
lan_parasitic_gap,2489,20.23247500,22.81251867,20.82171926,21.15843707
lan_parasitic_gap,2490,20.23247500,22.81251867,3.76001097,5.82628641
lan_parasitic_gap,2491,20.38631678,21.72490983,10.19600627,10.07178734
lan_parasitic_gap,2492,20.38631678,21.72490983,3.76001097,5.82628641
lan_parasitic_gap,2493,20.38631678,21.72490983,20.82171926,21.15843707
lan_parasitic_gap,2494,20.38631678,21.57545384,10.19600627,9.47206479
lan_parasitic_gap,2495,20.38631678,21.57545384,3.76001097,6.07305507
lan_parasitic_gap,2496,20.38631678,21.57545384,20.82171926,19.04235835
lan_parasitic_gap,2497,19.02877826,22.63344271,10.83354764,10.32323899
lan_parasitic_gap,2498,19.02877826,22.63344271,20.72956134,18.10618921
lan_parasitic_gap,2499,19.02877826,22.63344271,6.09214048,8.89696615
lan_parasitic_gap,2500,19.02877826,22.32339023,10.83354764,10.89288424
lan_parasitic_gap,2501,19.02877826,22.32339023,20.72956134,20.42509643
lan_parasitic_gap,2502,19.02877826,22.32339023,6.09214048,8.59972913
lan_parasitic_gap,2503,19.29423848,21.51108512,6.09214048,8.59972913
lan_parasitic_gap,2504,19.29423848,21.51108512,10.83354764,10.89288424
lan_parasitic_gap,2505,19.29423848,21.51108512,20.72956134,20.42509643
lan_parasitic_gap,2506,19.29423848,21.25179098,6.09214048,8.89696615
lan_parasitic_gap,2507,19.29423848,21.25179098,10.83354764,10.32323899
lan_parasitic_gap,2508,19.29423848,21.25179098,20.72956134,18.10618921
lan_parasitic_gap,2509,18.19593494,20.93232636,3.94645189,6.68770375
lan_parasitic_gap,2510,18.19593494,20.93232636,10.32485192,9.52740224
lan_parasitic_gap,2511,18.19593494,20.93232636,21.52034145,19.54354483
lan_parasitic_gap,2512,18.19593494,20.44550190,3.94645189,6.64245795
lan_parasitic_gap,2513,18.19593494,20.44550190,10.32485192,10.07020903
lan_parasitic_gap,2514,18.19593494,20.44550190,21.52034145,22.06514061
lan_parasitic_gap,2515,20.60262871,22.18404609,3.94645189,6.64245795
lan_parasitic_gap,2516,20.60262871,22.18404609,10.32485192,10.07020903
lan_parasitic_gap,2517,20.60262871,22.18404609,21.52034145,22.06514061
